freq_Hz,mk2_on_axis,mk2_LW,mk2_ER,mk2_SP,mk2_DI,mk2_PIR,mk3_on_axis,mk3_LW,mk3_ER,mk3_SP,mk3_DI,mk3_PIR
6856.463,0.0000,-1.7491,-26.8633,-11.3123,11.3123,-2.7006,0.0000,-1.7472,-26.8637,-11.3100,11.3100,-2.7004
6920.033,0.0000,-1.7490,-26.8637,-11.3121,11.3121,-2.7006,0.0000,-1.7472,-26.8639,-11.3100,11.3100,-2.7004
6984.192,0.0000,-1.7489,-26.8642,-11.3120,11.3120,-2.7006,0.0000,-1.7471,-26.8642,-11.3099,11.3099,-2.7004
7048.946,0.0000,-1.7488,-26.8646,-11.3118,11.3118,-2.7005,0.0000,-1.7470,-26.8645,-11.3098,11.3098,-2.7004
7114.300,0.0000,-1.7487,-26.8650,-11.3117,11.3117,-2.7005,0.0000,-1.7470,-26.8647,-11.3097,11.3097,-2.7004
7180.261,0.0000,-1.7486,-26.8654,-11.3116,11.3116,-2.7005,0.0000,-1.7469,-26.8650,-11.3096,11.3096,-2.7004
7246.833,0.0000,-1.7485,-26.8659,-11.3114,11.3114,-2.7005,0.0000,-1.7469,-26.8652,-11.3095,11.3095,-2.7004
7314.022,0.0000,-1.7484,-26.8663,-11.3113,11.3113,-2.7005,0.0000,-1.7468,-26.8655,-11.3094,11.3094,-2.7004
7381.834,0.0000,-1.7482,-26.8666,-11.3112,11.3112,-2.7005,0.0000,-1.7467,-26.8657,-11.3094,11.3094,-2.7004
7450.275,0.0000,-1.7481,-26.8670,-11.3110,11.3110,-2.7005,0.0000,-1.7466,-26.8659,-11.3093,11.3093,-2.7004
7519.350,0.0000,-1.7480,-26.8673,-11.3109,11.3109,-2.7005,0.0000,-1.7466,-26.8661,-11.3092,11.3092,-2.7004
7589.066,0.0000,-1.7479,-26.8677,-11.3108,11.3108,-2.7005,0.0000,-1.7465,-26.8663,-11.3091,11.3091,-2.7004
7659.428,0.0000,-1.7478,-26.8672,-11.3106,11.3106,-2.7005,0.0000,-1.7464,-26.8661,-11.3091,11.3091,-2.7004
7730.442,0.0000,-1.7477,-26.8666,-11.3105,11.3105,-2.7005,0.0000,-1.7464,-26.8657,-11.3090,11.3090,-2.7003
7802.115,0.0000,-1.7476,-26.8661,-11.3104,11.3104,-2.7004,0.0000,-1.7463,-26.8653,-11.3089,11.3089,-2.7003
7874.453,0.0000,-1.7475,-26.8656,-11.3103,11.3103,-2.7004,0.0000,-1.7462,-26.8651,-11.3088,11.3088,-2.7003
7947.461,0.0000,-1.7474,-26.8651,-11.3102,11.3102,-2.7004,0.0000,-1.7462,-26.8648,-11.3088,11.3088,-2.7003
8021.146,0.0000,-1.7473,-26.8648,-11.3101,11.3101,-2.7004,0.0000,-1.7461,-26.8646,-11.3087,11.3087,-2.7003
8095.514,0.0000,-1.7472,-26.8645,-11.3100,11.3100,-2.7004,0.0000,-1.7461,-26.8644,-11.3087,11.3087,-2.7003
8170.572,0.0000,-1.7471,-26.8642,-11.3099,11.3099,-2.7004,0.0000,-1.7460,-26.8642,-11.3086,11.3086,-2.7003
8246.325,0.0000,-1.7470,-26.8640,-11.3098,11.3098,-2.7004,0.0000,-1.7460,-26.8641,-11.3085,11.3085,-2.7003
8322.781,0.0000,-1.7469,-26.8638,-11.3097,11.3097,-2.7004,0.0000,-1.7459,-26.8640,-11.3085,11.3085,-2.7003
8399.946,0.0000,-1.7469,-26.8637,-11.3096,11.3096,-2.7004,0.0000,-1.7459,-26.8639,-11.3084,11.3084,-2.7003
8477.826,0.0000,-1.7468,-26.8636,-11.3095,11.3095,-2.7004,0.0000,-1.7458,-26.8639,-11.3084,11.3084,-2.7003
8556.428,0.0000,-1.7467,-26.8635,-11.3094,11.3094,-2.7004,0.0000,-1.7458,-26.8638,-11.3083,11.3083,-2.7003
8635.759,0.0000,-1.7466,-26.8635,-11.3093,11.3093,-2.7004,0.0000,-1.7457,-26.8638,-11.3083,11.3083,-2.7003
8715.826,0.0000,-1.7466,-26.8635,-11.3092,11.3092,-2.7004,0.0000,-1.7457,-26.8638,-11.3082,11.3082,-2.7003
8796.635,0.0000,-1.7465,-26.8636,-11.3092,11.3092,-2.7004,0.0000,-1.7457,-26.8639,-11.3082,11.3082,-2.7003
8878.193,0.0000,-1.7465,-26.8636,-11.3091,11.3091,-2.7004,0.0000,-1.7456,-26.8639,-11.3081,11.3081,-2.7003
8960.507,0.0000,-1.7464,-26.8637,-11.3090,11.3090,-2.7003,0.0000,-1.7456,-26.8639,-11.3081,11.3081,-2.7003
9043.585,0.0000,-1.7463,-26.8638,-11.3089,11.3089,-2.7003,0.0000,-1.7456,-26.8640,-11.3080,11.3080,-2.7003
9127.433,0.0000,-1.7463,-26.8639,-11.3089,11.3089,-2.7003,0.0000,-1.7455,-26.8641,-11.3080,11.3080,-2.7003
9212.058,0.0000,-1.7462,-26.8640,-11.3088,11.3088,-2.7003,0.0000,-1.7455,-26.8641,-11.3079,11.3079,-2.7003
9297.467,0.0000,-1.7462,-26.8642,-11.3087,11.3087,-2.7003,0.0000,-1.7455,-26.8642,-11.3079,11.3079,-2.7003
9383.669,0.0000,-1.7461,-26.8643,-11.3087,11.3087,-2.7003,0.0000,-1.7454,-26.8643,-11.3079,11.3079,-2.7003
9470.670,0.0000,-1.7461,-26.8644,-11.3086,11.3086,-2.7003,0.0000,-1.7454,-26.8644,-11.3078,11.3078,-2.7003
9558.477,0.0000,-1.7460,-26.8646,-11.3085,11.3085,-2.7003,0.0000,-1.7454,-26.8645,-11.3078,11.3078,-2.7003
9647.099,0.0000,-1.7460,-26.8646,-11.3085,11.3085,-2.7003,0.0000,-1.7454,-26.8644,-11.3078,11.3078,-2.7003
9736.542,0.0000,-1.7459,-26.8646,-11.3084,11.3084,-2.7003,0.0000,-1.7453,-26.8644,-11.3077,11.3077,-2.7003
9826.815,0.0000,-1.7459,-26.8646,-11.3084,11.3084,-2.7003,0.0000,-1.7453,-26.8644,-11.3077,11.3077,-2.7003
9917.924,0.0000,-1.7459,-26.8646,-11.3083,11.3083,-2.7003,0.0000,-1.7453,-26.8645,-11.3077,11.3077,-2.7003
10009.878,0.0000,-1.7458,-26.8646,-11.3083,11.3083,-2.7003,0.0000,-1.7452,-26.8645,-11.3076,11.3076,-2.7003
10102.685,0.0000,-1.7458,-26.8647,-11.3082,11.3082,-2.7003,0.0000,-1.7452,-26.8645,-11.3076,11.3076,-2.7003
10196.352,0.0000,-1.7457,-26.8647,-11.3082,11.3082,-2.7003,0.0000,-1.7452,-26.8645,-11.3076,11.3076,-2.7002
10290.888,0.0000,-1.7457,-26.8648,-11.3081,11.3081,-2.7003,0.0000,-1.7452,-26.8646,-11.3075,11.3075,-2.7002
10386.300,0.0000,-1.7457,-26.8648,-11.3081,11.3081,-2.7003,0.0000,-1.7452,-26.8646,-11.3075,11.3075,-2.7002
10482.597,0.0000,-1.7456,-26.8649,-11.3080,11.3080,-2.7003,0.0000,-1.7451,-26.8646,-11.3075,11.3075,-2.7002
10579.786,0.0000,-1.7456,-26.8650,-11.3080,11.3080,-2.7003,0.0000,-1.7451,-26.8647,-11.3075,11.3075,-2.7002
10677.877,0.0000,-1.7456,-26.8650,-11.3079,11.3079,-2.7003,0.0000,-1.7451,-26.8647,-11.3074,11.3074,-2.7002
10776.877,0.0000,-1.7455,-26.8651,-11.3079,11.3079,-2.7003,0.0000,-1.7451,-26.8648,-11.3074,11.3074,-2.7002
10876.795,0.0000,-1.7455,-26.8652,-11.3078,11.3078,-2.7003,0.0000,-1.7450,-26.8648,-11.3074,11.3074,-2.7002
10977.639,0.0000,-1.7454,-26.8653,-11.3078,11.3078,-2.7003,0.0000,-1.7450,-26.8649,-11.3074,11.3074,-2.7002
11079.419,0.0000,-1.7454,-26.8652,-11.3078,11.3078,-2.7003,0.0000,-1.7450,-26.8648,-11.3073,11.3073,-2.7002
11182.142,0.0000,-1.7454,-26.8651,-11.3077,11.3077,-2.7003,0.0000,-1.7450,-26.8648,-11.3073,11.3073,-2.7002
11285.817,0.0000,-1.7453,-26.8650,-11.3077,11.3077,-2.7003,0.0000,-1.7450,-26.8647,-11.3073,11.3073,-2.7002
11390.454,0.0000,-1.7453,-26.8649,-11.3077,11.3077,-2.7003,0.0000,-1.7449,-26.8647,-11.3073,11.3073,-2.7002
11496.060,0.0000,-1.7453,-26.8648,-11.3076,11.3076,-2.7003,0.0000,-1.7449,-26.8646,-11.3072,11.3072,-2.7002
11602.646,0.0000,-1.7452,-26.8648,-11.3076,11.3076,-2.7003,0.0000,-1.7449,-26.8646,-11.3072,11.3072,-2.7002
11710.220,0.0000,-1.7452,-26.8647,-11.3076,11.3076,-2.7002,0.0000,-1.7449,-26.8646,-11.3072,11.3072,-2.7002
11818.792,0.0000,-1.7452,-26.8647,-11.3075,11.3075,-2.7002,0.0000,-1.7449,-26.8645,-11.3072,11.3072,-2.7002
11928.370,0.0000,-1.7452,-26.8647,-11.3075,11.3075,-2.7002,0.0000,-1.7449,-26.8645,-11.3072,11.3072,-2.7002
12038.964,0.0000,-1.7451,-26.8646,-11.3075,11.3075,-2.7002,0.0000,-1.7448,-26.8645,-11.3072,11.3072,-2.7002
12150.583,0.0000,-1.7451,-26.8646,-11.3075,11.3075,-2.7002,0.0000,-1.7448,-26.8645,-11.3071,11.3071,-2.7002
12263.238,0.0000,-1.7451,-26.8646,-11.3074,11.3074,-2.7002,0.0000,-1.7448,-26.8645,-11.3071,11.3071,-2.7002
12376.936,0.0000,-1.7451,-26.8646,-11.3074,11.3074,-2.7002,0.0000,-1.7448,-26.8645,-11.3071,11.3071,-2.7002
12491.689,0.0000,-1.7451,-26.8646,-11.3074,11.3074,-2.7002,0.0000,-1.7448,-26.8645,-11.3071,11.3071,-2.7002
12607.506,0.0000,-1.7450,-26.8646,-11.3074,11.3074,-2.7002,0.0000,-1.7448,-26.8645,-11.3071,11.3071,-2.7002
12724.397,0.0000,-1.7450,-26.8646,-11.3073,11.3073,-2.7002,0.0000,-1.7448,-26.8644,-11.3071,11.3071,-2.7002
12842.371,0.0000,-1.7450,-26.8645,-11.3073,11.3073,-2.7002,0.0000,-1.7448,-26.8644,-11.3071,11.3071,-2.7002
12961.440,0.0000,-1.7450,-26.8645,-11.3073,11.3073,-2.7002,0.0000,-1.7447,-26.8644,-11.3070,11.3070,-2.7002
13081.612,0.0000,-1.7450,-26.8645,-11.3073,11.3073,-2.7002,0.0000,-1.7447,-26.8644,-11.3070,11.3070,-2.7002
13202.898,0.0000,-1.7449,-26.8645,-11.3072,11.3072,-2.7002,0.0000,-1.7447,-26.8644,-11.3070,11.3070,-2.7002
13325.309,0.0000,-1.7449,-26.8645,-11.3072,11.3072,-2.7002,0.0000,-1.7447,-26.8644,-11.3070,11.3070,-2.7002
13448.855,0.0000,-1.7449,-26.8645,-11.3072,11.3072,-2.7002,0.0000,-1.7447,-26.8644,-11.3070,11.3070,-2.7002
13573.546,0.0000,-1.7449,-26.8645,-11.3072,11.3072,-2.7002,0.0000,-1.7447,-26.8644,-11.3070,11.3070,-2.7002
13699.393,0.0000,-1.7449,-26.8646,-11.3072,11.3072,-2.7002,0.0000,-1.7447,-26.8644,-11.3070,11.3070,-2.7002
13826.408,0.0000,-1.7448,-26.8646,-11.3072,11.3072,-2.7002,0.0000,-1.7447,-26.8645,-11.3070,11.3070,-2.7002
13954.599,0.0000,-1.7448,-26.8646,-11.3071,11.3071,-2.7002,0.0000,-1.7447,-26.8645,-11.3070,11.3070,-2.7002
14083.980,0.0000,-1.7448,-26.8646,-11.3071,11.3071,-2.7002,0.0000,-1.7446,-26.8645,-11.3069,11.3069,-2.7002
14214.559,0.0000,-1.7448,-26.8646,-11.3071,11.3071,-2.7002,0.0000,-1.7446,-26.8645,-11.3069,11.3069,-2.7002
14346.350,0.0000,-1.7448,-26.8647,-11.3071,11.3071,-2.7002,0.0000,-1.7446,-26.8645,-11.3069,11.3069,-2.7002
14479.362,0.0000,-1.7448,-26.8647,-11.3071,11.3071,-2.7002,0.0000,-1.7446,-26.8645,-11.3069,11.3069,-2.7002
14613.608,0.0000,-1.7448,-26.8646,-11.3071,11.3071,-2.7002,0.0000,-1.7446,-26.8645,-11.3069,11.3069,-2.7002
14749.098,0.0000,-1.7448,-26.8646,-11.3071,11.3071,-2.7002,0.0000,-1.7446,-26.8645,-11.3069,11.3069,-2.7002
14885.845,0.0000,-1.7447,-26.8646,-11.3070,11.3070,-2.7002,0.0000,-1.7446,-26.8645,-11.3069,11.3069,-2.7002
15023.859,0.0000,-1.7447,-26.8646,-11.3070,11.3070,-2.7002,0.0000,-1.7446,-26.8644,-11.3069,11.3069,-2.7002
15163.153,0.0000,-1.7447,-26.8645,-11.3070,11.3070,-2.7002,0.0000,-1.7446,-26.8644,-11.3069,11.3069,-2.7002
15303.738,0.0000,-1.7447,-26.8645,-11.3070,11.3070,-2.7002,0.0000,-1.7446,-26.8644,-11.3069,11.3069,-2.7002
15445.627,0.0000,-1.7447,-26.8645,-11.3070,11.3070,-2.7002,0.0000,-1.7446,-26.8644,-11.3069,11.3069,-2.7002
15588.832,0.0000,-1.7447,-26.8645,-11.3070,11.3070,-2.7002,0.0000,-1.7446,-26.8644,-11.3069,11.3069,-2.7002
15733.364,0.0000,-1.7447,-26.8645,-11.3070,11.3070,-2.7002,0.0000,-1.7446,-26.8644,-11.3068,11.3068,-2.7002
15879.236,0.0000,-1.7447,-26.8644,-11.3070,11.3070,-2.7002,0.0000,-1.7446,-26.8644,-11.3068,11.3068,-2.7002
16026.460,0.0000,-1.7447,-26.8644,-11.3069,11.3069,-2.7002,0.0000,-1.7446,-26.8644,-11.3068,11.3068,-2.7002
16175.050,0.0000,-1.7447,-26.8644,-11.3069,11.3069,-2.7002,0.0000,-1.7446,-26.8644,-11.3068,11.3068,-2.7002
16325.017,0.0000,-1.7446,-26.8644,-11.3069,11.3069,-2.7002,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002
16476.375,0.0000,-1.7446,-26.8644,-11.3069,11.3069,-2.7002,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002
16629.136,0.0000,-1.7446,-26.8644,-11.3069,11.3069,-2.7002,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002
16783.313,0.0000,-1.7446,-26.8644,-11.3069,11.3069,-2.7002,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002
16938.920,0.0000,-1.7446,-26.8644,-11.3069,11.3069,-2.7002,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002
17095.969,0.0000,-1.7446,-26.8644,-11.3069,11.3069,-2.7002,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002
17254.475,0.0000,-1.7446,-26.8644,-11.3069,11.3069,-2.7002,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002
17414.450,0.0000,-1.7446,-26.8644,-11.3069,11.3069,-2.7002,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002
17575.908,0.0000,-1.7446,-26.8644,-11.3069,11.3069,-2.7002,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002
17738.863,0.0000,-1.7446,-26.8645,-11.3069,11.3069,-2.7002,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002
17903.329,0.0000,-1.7446,-26.8645,-11.3069,11.3069,-2.7002,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002
18069.320,0.0000,-1.7446,-26.8644,-11.3068,11.3068,-2.7002,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002
18236.850,0.0000,-1.7446,-26.8644,-11.3068,11.3068,-2.7002,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002
18405.934,0.0000,-1.7446,-26.8644,-11.3068,11.3068,-2.7002,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002
18576.585,0.0000,-1.7446,-26.8644,-11.3068,11.3068,-2.7002,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002
18748.818,0.0000,-1.7446,-26.8644,-11.3068,11.3068,-2.7002,0.0000,-1.7445,-26.8643,-11.3068,11.3068,-2.7002
18922.648,0.0000,-1.7446,-26.8644,-11.3068,11.3068,-2.7002,0.0000,-1.7445,-26.8643,-11.3068,11.3068,-2.7002
19098.089,0.0000,-1.7446,-26.8644,-11.3068,11.3068,-2.7002,0.0000,-1.7445,-26.8643,-11.3068,11.3068,-2.7002
19275.157,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002,0.0000,-1.7445,-26.8643,-11.3068,11.3068,-2.7002
19453.867,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002,0.0000,-1.7445,-26.8643,-11.3067,11.3067,-2.7002
19634.234,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002,0.0000,-1.7445,-26.8643,-11.3067,11.3067,-2.7002
19816.273,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002,0.0000,-1.7445,-26.8643,-11.3067,11.3067,-2.7002
20000.000,0.0000,-1.7445,-26.8644,-11.3068,11.3068,-2.7002,0.0000,-1.7445,-26.8643,-11.3067,11.3067,-2.7002
